"symbol","company_name","sector","stock_type","status","last_runtime"
"A","Agilent Technologies Inc","Health Care","sp500",1,2022-10-21 20:07:12
"AAL","American Airlines Group Inc","Industrials","sp500",1,2022-10-21 20:07:12
"AAP","Advance Auto Parts Inc","Consumer Discretionary","sp500",1,2022-10-21 20:07:12
"AAPL","Apple Inc","Information Technology","sp500",1,2022-10-21 20:07:12
"ABBV","Abbvie Inc","Health Care","sp500",1,2022-10-21 20:07:12
"ABC","AmerisourceBergen Corp","Health Care","sp500",1,2022-10-21 20:07:12
"ABMD","Abiomed Inc","Health Care","sp500",1,2022-10-21 20:07:12
"ABT","Abbott Laboratories","Health Care","sp500",1,2022-10-21 20:07:12
"ACN","Accenture Plc Class A","Information Technology","sp500",1,2022-10-21 20:07:12
"ADBE","Adobe Inc","Information Technology","sp500",1,2022-10-21 20:07:12
"ADI","Analog Devices Inc","Information Technology","sp500",1,2022-10-21 20:07:12
"ADM","Archer-Daniels-Midland Company","Consumer Staples","sp500",1,2022-10-21 20:07:12
"ADP","Automatic Data Processing Inc","Information Technology","sp500",1,2022-10-21 20:07:12
"ADSK","Autodesk Inc","Information Technology","sp500",1,2022-10-21 20:07:12
"AEE","Ameren Corp","Utilities","sp500",1,2022-10-21 20:07:12
"AEP","American Electric Power Inc","Utilities","sp500",1,2022-10-21 20:07:12
"AES","AES Corp","Utilities","sp500",1,2022-10-21 20:07:12
"AFL","Aflac Inc","Financials","sp500",1,2022-10-21 20:07:12
"AIG","American International Group Inc","Financials","sp500",1,2022-10-21 20:07:12
"AIZ","Assurant Inc","Financials","sp500",1,2022-10-21 20:07:12
"AJG","Arthur J Gallagher","Financials","sp500",1,2022-10-21 20:07:12
"AKAM","Akamai Technologies Inc","Information Technology","sp500",1,2022-10-21 20:07:12
"ALB","Albemarle Corp","Materials","sp500",1,2022-10-21 20:07:12
"ALGN","Align Technology Inc","Health Care","sp500",1,2022-10-21 20:07:12
"ALK","Alaska Air Group Inc","Industrials","sp500",1,2022-10-21 20:07:12
"ALL","Allstate Corp","Financials","sp500",1,2022-10-21 20:07:12
"ALLE","Allegion PLC","Industrials","sp500",1,2022-10-21 20:07:12
"AMAT","Applied Material Inc","Information Technology","sp500",1,2022-10-21 20:07:12
"AMC","","","others",1,2022-10-21 20:07:12
"AMCR","Amcor plc","Materials","sp500",1,2022-10-21 20:07:12
"AMD","Advanced Micro Devices Inc","Information Technology","sp500",1,2022-10-21 20:07:12
"AME","Ametek Inc","Industrials","sp500",1,2022-10-21 20:07:12
"AMGN","Amgen Inc","Health Care","sp500",1,2022-10-21 20:07:12
"AMP","Ameriprise Finance Inc","Financials","sp500",1,2022-10-21 20:07:12
"AMT","American Tower Corporation","Real Estate","sp500",1,2022-10-21 20:07:12
"AMZN","Amazon.Com Inc.","Consumer Discretionary","sp500",1,2022-10-21 20:07:12
"ANET","Arista Networks Inc","Information Technology","sp500",1,2022-10-21 20:07:12
"ANSS","Ansys Inc","Information Technology","sp500",1,2022-10-21 20:07:12
"AON","Aon Plc","Financials","sp500",1,2022-10-21 20:07:12
"AOS","A O Smith Corp","Industrials","sp500",1,2022-10-21 20:07:12
"APA","Apache Corp","Energy","sp500",1,2022-10-21 20:07:12
"APD","Air Products And Chemicals Inc","Materials","sp500",1,2022-10-21 20:07:12
"APH","Amphenol Corp","Information Technology","sp500",1,2022-10-21 20:07:12
"APTV","Aptiv Plc","Consumer Discretionary","sp500",1,2022-10-21 20:07:12
"ARE","Alexandria Real Estate Equities, Inc","Real Estate","sp500",1,2022-10-21 20:07:12
"ATO","Atmos Energy Corp","Utilities","sp500",1,2022-10-21 20:07:12
"ATVI","Activision Blizzard Inc","Communication Services","sp500",1,2022-10-21 20:07:12
"AVB","AvalonBay Communities, Inc","Real Estate","sp500",1,2022-10-21 20:07:12
"AVGO","Broadcom Inc.","Information Technology","sp500",1,2022-10-21 20:07:12
"AVY","Avery Dennison Corp","Materials","sp500",1,2022-10-21 20:07:12
"AWK","American Water Works Inc","Utilities","sp500",1,2022-10-21 20:07:12
"AXP","American Express","Financials","sp500",1,2022-10-21 20:07:12
"AZO","Autozone Inc","Consumer Discretionary","sp500",1,2022-10-21 20:07:12
"BA","Boeing","Industrials","sp500",1,2022-10-21 20:07:12
"BAC","Bank of America Corp","Financials","sp500",1,2022-10-21 20:07:12
"BALL","Ball Corporation","Materials","sp500",1,2022-10-21 20:07:12
"BAX","Baxter International Inc","Health Care","sp500",1,2022-10-21 20:07:12
"BBWI","Bath & Body Works, Inc.","Consumer Discretionary","sp500",1,2022-10-21 20:07:12
"BBY","Best Buy Inc","Consumer Discretionary","sp500",1,2022-10-21 20:07:12
"BDX","Becton Dickinson","Health Care","sp500",1,2022-10-21 20:07:12
"BEN","Franklin Resources Inc","Financials","sp500",1,2022-10-21 20:07:12
"BF.B","Brown Forman Inc Class B","Consumer Staples","sp500",1,2022-10-21 20:07:12
"BIIB","Biogen Inc","Health Care","sp500",1,2022-10-21 20:07:12
"BIO","Bio Rad Laboratories Inc Class A","Health Care","sp500",1,2022-10-21 20:07:12
"BK","Bank Of New York Mellon Corp","Financials","sp500",1,2022-10-21 20:07:12
"BKNG","Booking Holdings Inc","Consumer Discretionary","sp500",1,2022-10-21 20:07:12
"BKR","Baker Hughes Company Class A","Energy","sp500",1,2022-10-21 20:07:12
"BLK","Blackrock Inc","Financials","sp500",1,2022-10-21 20:07:12
"BMY","Bristol Myers Squibb","Health Care","sp500",1,2022-10-21 20:07:12
"BR","Broadridge Financial Solutions Inc","Information Technology","sp500",1,2022-10-21 20:07:12
"BRK.B","Berkshire Hathaway Inc. Class B","Financials","sp500",1,2022-10-21 20:07:12
"BRO","Brown & Brown Inc","Financials","sp500",1,2022-10-21 20:07:12
"BSX","Boston Scientific Corp","Health Care","sp500",1,2022-10-21 20:07:12
"BWA","BorgWarner Inc","Consumer Discretionary","sp500",1,2022-10-21 20:07:12
"BXP","Boston Properties, Inc","Real Estate","sp500",1,2022-10-21 20:07:12
