"symbol","date","close","evwma","zlema","atr","is_first_buy_yn","message_b","rsi_oversold_yn","cci_oversold_yn","macd_flag","evwma_flag","ce_short_spike_flag"
"ADSK",2023-11-30,218.43,210.40181436102,209.450400706491,5.72983506881327,1,"buy - macd",0,0,1,1,1
"BBWI",2023-11-30,32.63,30.6150823346114,31.8838195475475,1.20851677669204,0,"buy - macd",0,0,1,1,1
"BMY",2023-11-30,49.38,50.3220835693301,48.746360969835,1.06391873003076,0,"hold",0,1,1,0,0
"FRT",2023-11-30,95.61,93.1070668139565,94.7142656528263,1.88680692775316,0,"buy - macd",0,0,1,1,0
"HPE",2023-11-30,16.9,16.1376334941531,16.2882311107804,0.399610088083398,1,"buy - evwma",0,0,0,1,1
"INCY",2023-11-30,54.34,54.0164708053727,53.3295235706384,1.21634855945796,0,"hold",0,1,0,1,0
"IP",2023-11-30,36.965,34.2656385881403,35.7676605811161,0.936631033818242,0,"buy - macd",0,0,1,1,1
"J",2023-11-30,127.23,128.285514677075,122.606432088133,3.26721206895737,0,"hold",0,1,0,0,0
"LNT",2023-11-30,50.57,49.5755123074304,50.412991331911,0.951052990071881,1,"buy - macd_ha",0,0,0,0,1
"MRK",2023-11-30,102.45,102.124541797889,101.205958959233,1.70287486230405,0,"hold",0,1,0,1,0
"PKG",2023-11-30,168.1,159.123165754689,163.317448184111,3.7174384153312,0,"buy - macd",0,0,1,0,0
"PLUG",2023-11-30,4.04,4.21087122332334,3.62405948417532,0.451746314570198,0,"hold",0,0,1,0,0
"WRK",2023-11-30,41.16,38.1974237458966,39.9811606610605,1.00372635410088,0,"buy - macd",0,0,1,0,1
